"name","risk","type","scope"
"dllhost#3","unknown","unknown","unknown"
"dllhost#4","unknown","unknown","unknown"
"dwm","unknown","unknown","unknown"
"esif_uf","unknown","unknown","unknown"
"explorer","unknown","unknown","unknown"
"fontdrvhost","unknown","unknown","unknown"
"fontdrvhost#1","unknown","unknown","unknown"
"igfxCUIServiceN","unknown","unknown","unknown"
"igfxEMN","unknown","unknown","unknown"
"jhi_service","unknown","unknown","unknown"
"lsass","unknown","unknown","unknown"
"mongod","unknown","unknown","unknown"
"msedgewebview2","unknown","unknown","unknown"
"msedgewebview2#1","unknown","unknown","unknown"
"msedgewebview2#2","unknown","unknown","unknown"
"msedgewebview2#3","unknown","unknown","unknown"
"msedgewebview2#4","unknown","unknown","unknown"
"msedgewebview2#5","unknown","unknown","unknown"
"notepad++","unknown","unknown","unknown"
"python3","unknown","unknown","unknown"
"python3#1","unknown","unknown","unknown"
"scalc","unknown","unknown","unknown"
"services","unknown","unknown","unknown"
"sihost","unknown","unknown","unknown"
"smss","unknown","unknown","unknown"
"soffice","unknown","unknown","unknown"
"soffice.bin","unknown","unknown","unknown"
"splunk-perfmon","unknown","unknown","unknown"
"splunk-winevtlog","unknown","unknown","unknown"
"splunkd","unknown","unknown","unknown"
"splunkd#1","unknown","unknown","unknown"
"splunkd#2","unknown","unknown","unknown"
"splwow64","unknown","unknown","unknown"
"spoolsv","unknown","unknown","unknown"
"svchost","unknown","unknown","unknown"
"swipl-win","unknown","unknown","unknown"
"swipl-win#1","unknown","unknown","unknown"
"taskhostw","unknown","unknown","unknown"
"taskhostw#1","unknown","unknown","unknown"
"thunderbird","unknown","unknown","unknown"
"thunderbird#1","unknown","unknown","unknown"
"thunderbird#2","unknown","unknown","unknown"
"thunderbird#3","unknown","unknown","unknown"
"unsecapp","unknown","unknown","unknown"
"unsecapp#1","unknown","unknown","unknown"
"vmcompute","unknown","unknown","unknown"
"wininit","unknown","unknown","unknown"
"winlogon","unknown","unknown","unknown"
"wireguard","unknown","unknown","unknown"
"wireguard#1","unknown","unknown","unknown"
"wlanext","unknown","unknown","unknown"
"wsc_proxy","unknown","unknown","unknown"
"splunkd#3","unknown","unknown","unknown"
"splunkd#4","unknown","unknown","unknown"
"Lenovo.Modern.ImController.PluginHost.Device#1","unknown","unknown","unknown"
"MoUsoCoreWorker","unknown","unknown","unknown"
"TiWorker","unknown","unknown","unknown"
"TrustedInstaller","unknown","unknown","unknown"
"WmiPrvSE#1","unknown","unknown","unknown"
"svchost#91","unknown","unknown","unknown"
"splunkd#5","unknown","unknown","unknown"
"splunkd#6","unknown","unknown","unknown"
"splunkd#7","unknown","unknown","unknown"
"LogonUI","unknown","unknown","unknown"
"RuntimeBroker#8","unknown","unknown","unknown"
"TabTip#1","unknown","unknown","unknown"
"C:\Windows\System32\services.exe","unknown","unknown","unknown"
"backgroundTaskHost","unknown","unknown","unknown"
